smiles,binary_classification_preference_idx
CN(C)C,1
CCOC(=O)C(C)=O,0
CCC/C=C\CO,0
NCCCCCN,1
CC/C=C\CCO,0
CCCCCCO,0
C=CC(O)CCCCC,0
CCCCCO,0
CCCCCCCC(=O)OC,0
CCOC(=O)CCC(=O)OCC,0
CC(=O)CCC=C(C)C,0
NCCCCNCCCN,1
CCCCCC=O,0
CCCCCC(C)=O,0
C=C(C)[C@H]1CC=C(C)CC1,0
CCCCC(=O)O,1
CCOC(=O)CC,0
CCCCCC(=O)O,1
C=CC(C)(O)CCC=C(C)C,0
CCCCCC(=O)OCC,0
CCCCCCCCC(=O)O,0
CCCCOC(C)=O,0
CCCCC(CC)C(=O)O,0
CC(C)CC(=O)O,1
CC1=CC[C@@H](C(C)(C)O)CC1,0
CCCCCCOC(C)=O,0
CC(C)CCO,0
CCC(=O)O,0
CC(C)C(=O)O,1
CC(=O)O,0
CCCC(=O)O,0
CCCCCCCC(=O)O,0
CCCCC1CCC(=O)O1,0
Cc1ccc(C(C)C)cc1,0
C=CC(=C)CCC=C(C)C,0
C=CCc1ccc(O)c(OC)c1,0
CC1=CC[C@@H]2[C@H](C1)C2(C)C,0
CC(C)=CCC/C(C)=C/CO,0
CC(=O)C(=O)O,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0
CCCCCCC1CCC(=O)O1,0
O=CCc1ccccc1,0
CCCCCCCC(=O)OCC,0
C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,0
CCCCCC1CCCC(=O)O1,0
CCCC(O)CC,1
CCC/C=C/C=O,1
COC(=O)c1ccccc1,0
CCOC(=O)c1ccccc1,0
CCOC(=O)CC(C)O,1
CC(=O)c1ccccc1,1
CCC1CCC(=O)O1,1
CCCC(=O)OCC,0
O=Cc1ccccc1,1
O=C=O,1
O=C1CCCC1,1
CCCCO,1
