smiles,binary_classification_above90@0.01
CCOC(=O)C1OC1(C)c1ccccc1,1
CCOc1cc(C=O)ccc1O,1
CCCCCCC1CCC(=O)O1,1
CC(=O)C=CC1=C(C)CCCC1(C)C,0
CC(C=O)Cc1ccc(C(C)(C)C)cc1,1
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0
CC(=O)C1=C(C)[C@@H]2C[C@]3(C1)[C@@H](CC[C@H]3C)C2(C)C,0
CC(=O)OC1CCCCC1C(C)(C)C,0
CC=CC(=O)C1=C(C)C=CCC1(C)C,1
COC(=O)c1c(C)cc(O)c(C)c1O,0
CCCC(O)CCC1C(C)CCCC1(C)C,0
CC(CC=O)CCCC(C)(C)O,0
CC(=O)CCc1ccc(O)cc1,0
O=C1CCCCCCCCCCC(=O)OCCO1,0
CC(C=O)Cc1ccc(C(C)C)cc1,1
O=C1CCCCCCCCCCCC(=O)OCCO1,0
CCC(=CCC1CC=C(C)C1(C)C)CO,0
CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OCC[C@H]21,0
CC(C)COC(=O)c1ccccc1O,1
CC(C)(O)Cc1ccccc1,0
Cc1cccc(CC(C)(C)CO)c1,1
CCCCCC1=C(C)CCC1=O,1
CC(C)c1cccc(C(C)CC=O)c1,0
CC(C)[C@H]1CC[C@@H](CO)CC1,1
CC1(CO)CC1CC1CC2CC2(C)C1(C)C,0
CCC(CC(C)CC)=NO,1
O=C1CCC2CCCCC2O1,1
CC(C)CC1CC(C)(O)CCO1,0
CC1=CCC(CC(C)C(C)O)C1(C)C,0
CCc1ccc(CC(C)(C)C=O)cc1,0
CC1=CCC(C=CC(C)C(C)O)C1(C)C,0
CCC=C(C)C(O)CCCCC,0
COC1CC2CC1C1CC(C=O)CC21,1
CC(C)Cc1ccc2ncccc2c1,0
CC(CO)CCCc1ccccc1,1
CCCC(=O)OC1C=CC2C3CCC(C3)C12,1
CC1=C(O)/C(=N/O)C(C(C)C)CC1,0
