smiles,binary_classification_response
CCCCCCCCCCO,1
CCCCCCCCCCCCO,1
CCCCCCCO,1
CCCCCCO,1
CCCCCCCCCO,1
CCCCCCCCO,1
CC12CCC(CC1)C(C)(C)O2,0
CCCCCCCCC(C)=O,0
CCCCCCCCCCC(C)=O,0
CCCCC(CC)CO,1
CCCCCC(C)=O,0
CCCCCC(C)=O,0
COc1nccnc1CC(C)C,1
Cc1cnccn1,1
CC(C)C(=O)O,0
CCCCCCCC(C)O,1
CCCCCCCC(C)=O,1
CCCCCCC(C)O,1
CCCCCCC(C)=O,0
CCCCCCCCCC(C)=O,1
CC(=O)C(C)O,1
CCCCC(S)C(C)CO,0
CCCCCC(S)C(C)CO,0
CCC(S)C(C)CO,0
CC(CO)CS,0
CCCCCC(=O)C(C)C(C)=O,0
CCCCCCC(=O)CC,1
CCCCCC(O)CC,1
CCCCCC(=O)CC,0
CCCCC(O)CCC,1
CC(=O)CCC=C(C)C,1
C=CCCCCCCCCO,1
CC(=O)c1ccccc1,1
C=CCOC(=O)COCCC(C)C,0
C/C=C/C(=O)C1C(C)=CCCC1(C)C,0
CC1=CCC2CC1C2(C)C,0
CC(C)(C)C1CCCCC1OCCCCO,0
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,0
COc1ccccc1,0
O=Cc1ccccc1,1
c1ccc2scnc2c1,1
CC(=O)OCc1ccccc1,0
CC(=O)/C=C/C1=C(C)CCCC1(C)C,0
CC(=O)OC1CC2CCC1(C)C2(C)C,0
CCCC=O,0
CCCC(=O)O,0
CCCCOC(=O)CCC,0
CC12CCC(CC1=O)C2(C)C,1
Cc1ccc(C(C)C)cc1O,0
CCCC1CC(=O)C=C(C)C1,1
O=C(O)/C=C/c1ccccc1,0
C/C=C\CCCO,0
CC(C)=CCC/C(C)=C/C=O,1
CC(C)=CCC/C(C)=C/C#N,0
O=c1ccc2ccccc2o1,1
COc1ccc(C)cc1,0
O=C1CCCCC1,0
CCCCCCCCCC=O,1
CSSC,0
CC(C)CCCC(C)(C)O,0
CCCCCCCCCCCC=O,0
CCCCCCCCCCCC(=O)O,0
C=CCc1ccc(OC)cc1,0
CCCC(=O)OCC,1
CCCCCCCCCC(=O)OCC,1
CCCCCCC(=O)OCC,0
CCCCCC(=O)OCC,0
CCOC(=O)C(C)C,1
CCCCCCCCC(=O)OCC,1
CCCCCCCC(=O)OCC,1
CCOc1cc(C=O)ccc1O,0
CCOC(=O)C(C)C,1
C=CCc1ccc(OC(C)=O)c(OC)c1,1
CCc1ccc(CC(C)(C)C=O)cc1,1
CCOC(=O)CC1(C)OCCO1,0
CCCCCCC1CCC(=O)O1,1
CCCCC1CCC(=O)O1,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0
COc1ccccc1O,1
CC(C=O)Cc1ccc2c(c1)OCO2,0
CCCCCCC=O,1
CCCCCCC(=O)O,0
CCCCCC=O,1
CCCCCC(=O)O,0
c1ccc2[nH]ccc2c1,0
CC(=O)OCCC(C)C,1
CCCCCCCCC(OC(C)=O)OC(C)=O,1
CCCCCC1COCCC1OC(C)=O,0
CC(C=O)Cc1ccc(C(C)(C)C)cc1,0
C=C(C)C1CC=C(C)CC1,1
C=CC(C)(O)CCC=C(C)C,0
C=CC(C)(CCC=C(C)C)OC(C)=O,0
CC(C)(O)CCCC1=CCC(C=O)CC1,1
Cc1occc(=O)c1O,1
Cc1occc(=O)c1OC(=O)C(C)C,1
CCCC(C)C(=O)OCC,1
CC1CCC(C(C)C)C(O)C1,1
CC1CCC(C(C)C)C(=O)C1,0
COC(=O)c1ccccc1,0
CCCCCCCCCC(=O)OC,1
CCCCCCC(=O)OC,0
CCCCCC(=O)OC,0
CCCCCCCCC(=O)OC,1
CCCCCCCC(=O)OC,1
COC(=O)c1ccccc1O,0
C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,0
CCCCCCCCC=O,1
CCCCCCCC=O,1
CCCCCCCC(=O)O,0
NCC(O)c1ccc(O)cc1,1
O=C1CCCCCCCCCCCCCCO1,0
COc1ccc(C=O)cc1,0
CC(=O)CCc1ccc2c(c1)OCO2,1
c1cnccn1,1
c1ccncc1,1
c1ccc2ncccc2c1,1
CC1CC(C)(c2ccccc2)CO1,0
CCCC(=O)SC,1
C=CCc1ccc2c(c1)OCO2,1
COC1CC2CC1C1CC(C=O)CC21,0
CC(=O)OC(C)(C)C1CC=C(C)CC1,0
c1cscn1,1
Cc1ccc(C(C)C)c(O)c1,1
C/C=C/c1ccc(OC)cc1,1
CCCCCCCCCCCCC=O,1
CCCCCCCCCCC=O,1
CC/C=C(\C)C(O)CCCCC,0
